Unnamed: 0,created_at,text,user_name,user_location,retweet_count,favorite_count
1634,13/03/2020 16:20,Waiting for UW to cancel classes bc of the coronavirus feels like waiting for them to cancel during snow storms e ,Merm,nan,0,3
1635,13/03/2020 16:19,RT NASAhistory Bettie L White started working for NASA in the 70s and for over 20 years worked in a variety of jobs They included Actin ,TWhatley,Wales,24,0
1636,13/03/2020 16:19,RT SamuelsGraham HILITINGHOCKEY emgfind People need to vote both these Premiers out in the next election It s so disheartening to see ,Westcoast1111,nan,6,0
1637,13/03/2020 16:18,RT khadijasanusi With time the plan was for the books to be inherited by B U K My father wanted university students to have access to ,Free Dadiyata ,Kano ,532,0
1638,13/03/2020 16:18,RT HistoricaCanada Our new education guide Residential Schools in Canada aims to raise awareness of the history of residential schools ,Lauren InnovatEd ,nan,77,0
1639,13/03/2020 16:18,Finally I was reminded that autobiography is better than biography allow students to debrief the learning by bu ,Anna McQuillan,Saskatoon SK ,0,1
1640,13/03/2020 16:17,RT alexandrawimley Nathia Camargo of Braddock had to pick up her son Elijah Brown 12 early after Woodland Hills Intermediate School c ,Steph Chambers,Pittsburgh PA,3,0
1641,13/03/2020 16:17,RT NottinghamTimes From Monday 23 March there will be no face to face lectures seminars or tutorials ,Matt Bodell,Nottingham England,2,0
1642,13/03/2020 16:17,RT David Osland There are millions of impoverished boomers who are still renting and never did get that free university education and p ,Michael Clarke NotMyGovernment,7oaks TWells Maidstone Brazil,143,0
1643,13/03/2020 16:17, Coronavirus Minister urges universities to stay open as classes shut down and exams cancelled The Independent ,Parisa,London,0,0
1644,13/03/2020 16:16, KamalaVeterans PercyHopweather I will vote for whomever is the nominee Even if it s Gabbard What I do know is ,Hot Stuff Independent,nan,0,0
1645,13/03/2020 16:16,RT David Osland There are millions of impoverished boomers who are still renting and never did get that free university education and p ,Lillington,Somewhere in Leicestershire,143,0
1646,13/03/2020 16:16,RT ateneodemanilau The Graduation Closing Ceremonies of Ateneo de Manila University s Basic Education Units have been postponed https ,Kimberly Jenita,Makati Philippines,70,0
1647,13/03/2020 16:16,In addition I am posting this because my education has been directly affected by this as my university has moved a ,emily semi hiatus,she her 23 ,0,0
1648,13/03/2020 16:16, v3aQF3O8DN2eF2H realDonaldTrump Sadly we cant even tell who is who in Canada anymore real expat chinese looking ,Brendan,Milton Ontario,1,4
1649,13/03/2020 16:16,RT NoLore I m gonna keep saying it the university cannot simply mandate online education Professors have the right to decide how to end ,canada is fake ,Toronto ON,51,0
1650,13/03/2020 16:16,RT Independent Minister urges UK universities to stay open as classes shut down and exams cancelled over coronavirus ,Graciela Salazar L ,M xico,15,0
